Altitude_km,Mach_0.144,Mach_0.149,Mach_0.154,Mach_0.159,Mach_0.164,Mach_0.169,Mach_0.174,Mach_0.179,Mach_0.184,Mach_0.189,Mach_0.194,Mach_0.199,Mach_0.204,Mach_0.209,Mach_0.214,Mach_0.219,Mach_0.224,Mach_0.229,Mach_0.234,Mach_0.239,Mach_0.244,Mach_0.249,Mach_0.254,Mach_0.259,Mach_0.264,Mach_0.269,Mach_0.274,Mach_0.279,Mach_0.284,Mach_0.289,Mach_0.294,Mach_0.299,Mach_0.304,Mach_0.309,Mach_0.314,Mach_0.319,Mach_0.324,Mach_0.329,Mach_0.334,Mach_0.339,Mach_0.344,Mach_0.349,Mach_0.354,Mach_0.359,Mach_0.364,Mach_0.369,Mach_0.374,Mach_0.379,Mach_0.384,Mach_0.389,Mach_0.394,Mach_0.399,Mach_0.404,Mach_0.409,Mach_0.414,Mach_0.419,Mach_0.424,Mach_0.429,Mach_0.434,Mach_0.439,Mach_0.444,Mach_0.449,Mach_0.454,Mach_0.459,Mach_0.464,Mach_0.469,Mach_0.474,Mach_0.479,Mach_0.484,Mach_0.489,Mach_0.494,Mach_0.499,Mach_0.504,Mach_0.509,Mach_0.514,Mach_0.519,Mach_0.524,Mach_0.529,Mach_0.534,Mach_0.539,Mach_0.544,Mach_0.549,Mach_0.554,Mach_0.559,Mach_0.564,Mach_0.569,Mach_0.574,Mach_0.579,Mach_0.584,Mach_0.589,Mach_0.594,Mach_0.599,Mach_0.604,Mach_0.609,Mach_0.614,Mach_0.619,Mach_0.624,Mach_0.629,Mach_0.634,Mach_0.639,Mach_0.644,Mach_0.649,Mach_0.654,Mach_0.659,Mach_0.664,Mach_0.669,Mach_0.674,Mach_0.679,Mach_0.684,Mach_0.689,Mach_0.694,Mach_0.699,Mach_0.704,Mach_0.709,Mach_0.714,Mach_0.719,Mach_0.724,Mach_0.729,Mach_0.734,Mach_0.739,Mach_0.744,Mach_0.749,Mach_0.754,Mach_0.759,Mach_0.764,Mach_0.769,Mach_0.774,Mach_0.779,Mach_0.784,Mach_0.789,Mach_0.794,Mach_0.799
0.0,,1.2743,1.1929,1.11905,1.05186,0.99054,0.93443,0.88295,0.83562,0.79199,0.75169,0.71439,0.6798,0.64767,0.61776,0.58987,0.56383,0.53948,0.51667,0.49528,0.47519,0.45629,0.43851,0.42174,0.40592,0.39097,0.37683,0.36344,0.35076,0.33873,0.3273,0.31645,0.30612,0.2963,0.28694,0.27801,0.2695,0.26137,0.2536,0.24618,0.23907,0.23227,0.22576,0.21951,0.21352,0.20777,0.20226,0.19695,0.19186,0.18696,0.18224,0.1777,0.17333,0.16912,0.16506,0.16114,0.15737,0.15372,0.1502,0.1468,0.14351,0.14033,0.13726,0.13428,0.1314,0.12862,0.12592,0.1233,0.12077,0.11831,0.11593,0.11362,0.11137,0.1092,0.10708,0.10503,0.10303,0.1011,0.09921,0.09738,0.0956,0.09386,0.09218,0.09054,0.08894,0.08738,0.08587,0.08439,0.08295,0.08155,0.08018,0.07885,0.07755,0.07628,0.07504,0.07384,0.07266,0.07151,0.07038,0.06929,0.06821,0.06717,0.06614,0.06514,0.06417,0.06321,0.06228,0.06136,0.06047,0.05959,0.05874,0.0579,0.05708,0.05628,0.05549,0.05473,0.05397,0.05323,0.05251,0.0518,0.05111,0.05043,0.04976,0.04911,0.04847,0.04784,0.04722,0.04662,0.04603,0.04545,0.04487,0.04431
0.25,,1.31275,1.22889,1.15281,1.08359,1.02042,0.96262,0.90959,0.86083,0.81589,0.77437,0.73595,0.70031,0.66721,0.63639,0.60767,0.58084,0.55575,0.53226,0.51022,0.48952,0.47006,0.45174,0.43446,0.41816,0.40276,0.3882,0.37441,0.36134,0.34895,0.33718,0.326,0.31536,0.30524,0.29559,0.2864,0.27763,0.26925,0.26125,0.2536,0.24628,0.23928,0.23257,0.22613,0.21996,0.21404,0.20836,0.2029,0.19765,0.1926,0.18774,0.18307,0.17856,0.17422,0.17004,0.16601,0.16211,0.15836,0.15473,0.15123,0.14784,0.14456,0.1414,0.13833,0.13537,0.1325,0.12972,0.12702,0.12441,0.12188,0.11943,0.11704,0.11473,0.11249,0.11031,0.1082,0.10614,0.10415,0.1022,0.10032,0.09848,0.0967,0.09496,0.09327,0.09162,0.09002,0.08846,0.08694,0.08545,0.08401,0.0826,0.08123,0.07989,0.07858,0.07731,0.07606,0.07485,0.07366,0.07251,0.07138,0.07027,0.06919,0.06814,0.06711,0.0661,0.06512,0.06416,0.06321,0.06229,0.06139,0.06051,0.05965,0.0588,0.05798,0.05717,0.05638,0.0556,0.05484,0.0541,0.05337,0.05265,0.05195,0.05126,0.05059,0.04993,0.04928,0.04865,0.04803,0.04742,0.04682,0.04623,0.04565
0.5,,1.35258,1.26618,1.1878,1.11647,1.05139,0.99183,0.9372,0.88695,0.84065,0.79787,0.75828,0.72157,0.68745,0.65571,0.62611,0.59847,0.57262,0.54841,0.5257,0.50438,0.48433,0.46545,0.44765,0.43085,0.41498,0.39998,0.38577,0.37231,0.35953,0.34741,0.33589,0.32493,0.3145,0.30456,0.29509,0.28605,0.27742,0.26918,0.2613,0.25376,0.24654,0.23962,0.233,0.22664,0.22054,0.21468,0.20905,0.20365,0.19844,0.19344,0.18862,0.18398,0.17951,0.1752,0.17104,0.16703,0.16316,0.15943,0.15581,0.15232,0.14895,0.14569,0.14253,0.13948,0.13652,0.13365,0.13088,0.12819,0.12558,0.12305,0.1206,0.11822,0.1159,0.11366,0.11148,0.10936,0.10731,0.10531,0.10336,0.10147,0.09963,0.09784,0.0961,0.0944,0.09275,0.09114,0.08957,0.08805,0.08656,0.08511,0.08369,0.08231,0.08097,0.07965,0.07837,0.07712,0.0759,0.07471,0.07354,0.0724,0.07129,0.07021,0.06915,0.06811,0.06709,0.0661,0.06513,0.06418,0.06326,0.06235,0.06146,0.06059,0.05974,0.0589,0.05809,0.05729,0.0565,0.05574,0.05499,0.05425,0.05353,0.05282,0.05213,0.05145,0.05078,0.05013,0.04948,0.04885,0.04824,0.04763,0.04704
0.75,,,1.30483,1.22405,1.15055,1.08348,1.0221,0.9658,0.91403,0.8663,0.82222,0.78143,0.74359,0.70844,0.67572,0.64522,0.61673,0.5901,0.56515,0.54175,0.51977,0.49911,0.47965,0.46131,0.444,0.42765,0.41219,0.39754,0.38367,0.37051,0.35801,0.34614,0.33485,0.3241,0.31386,0.3041,0.29478,0.28589,0.2774,0.26927,0.2615,0.25406,0.24694,0.24011,0.23356,0.22727,0.22123,0.21543,0.20986,0.2045,0.19934,0.19438,0.1896,0.18499,0.18055,0.17626,0.17213,0.16814,0.16429,0.16057,0.15697,0.1535,0.15014,0.14688,0.14373,0.14069,0.13773,0.13487,0.1321,0.12941,0.12681,0.12428,0.12182,0.11944,0.11713,0.11488,0.1127,0.11058,0.10852,0.10652,0.10457,0.10267,0.10083,0.09903,0.09728,0.09558,0.09392,0.09231,0.09073,0.0892,0.0877,0.08625,0.08482,0.08344,0.08208,0.08076,0.07947,0.07822,0.07699,0.07579,0.07461,0.07347,0.07235,0.07126,0.07019,0.06914,0.06812,0.06712,0.06614,0.06519,0.06425,0.06333,0.06244,0.06156,0.0607,0.05986,0.05904,0.05823,0.05744,0.05666,0.0559,0.05516,0.05443,0.05372,0.05302,0.05233,0.05165,0.05099,0.05035,0.04971,0.04909,0.04847
1.0,,,1.34488,1.26163,1.18587,1.11674,1.05348,0.99545,0.94209,0.8929,0.84747,0.80542,0.76642,0.73019,0.69646,0.66502,0.63567,0.60821,0.5825,0.55838,0.53573,0.51443,0.49438,0.47547,0.45763,0.44078,0.42484,0.40975,0.39545,0.38188,0.369,0.35677,0.34513,0.33405,0.32349,0.31343,0.30383,0.29467,0.28591,0.27754,0.26953,0.26186,0.25452,0.24748,0.24073,0.23425,0.22803,0.22205,0.2163,0.21078,0.20546,0.20035,0.19542,0.19067,0.18609,0.18168,0.17742,0.17331,0.16933,0.1655,0.16179,0.15821,0.15474,0.15139,0.14815,0.145,0.14196,0.13901,0.13616,0.13339,0.1307,0.12809,0.12556,0.12311,0.12073,0.11841,0.11616,0.11398,0.11185,0.10979,0.10778,0.10582,0.10392,0.10207,0.10027,0.09851,0.09681,0.09514,0.09352,0.09194,0.0904,0.08889,0.08743,0.086,0.0846,0.08324,0.08191,0.08062,0.07935,0.07811,0.0769,0.07572,0.07457,0.07344,0.07234,0.07126,0.07021,0.06918,0.06817,0.06719,0.06622,0.06528,0.06435,0.06345,0.06256,0.0617,0.06085,0.06002,0.0592,0.0584,0.05762,0.05685,0.0561,0.05537,0.05464,0.05394,0.05324,0.05256,0.05189,0.05124,0.05059,0.04996
1.25,,,,1.30059,1.22249,1.15123,1.08602,1.02619,0.97118,0.92047,0.87364,0.83029,0.79009,0.75273,0.71797,0.68556,0.6553,0.62699,0.60049,0.57562,0.55227,0.53032,0.50964,0.49016,0.47177,0.45439,0.43796,0.4224,0.40766,0.39368,0.3804,0.36778,0.35578,0.34436,0.33348,0.32311,0.31322,0.30377,0.29474,0.28611,0.27785,0.26995,0.26238,0.25512,0.24816,0.24148,0.23507,0.22891,0.22298,0.21729,0.21181,0.20653,0.20145,0.19656,0.19184,0.18729,0.1829,0.17866,0.17456,0.17061,0.16679,0.1631,0.15952,0.15607,0.15272,0.14948,0.14634,0.14331,0.14036,0.1375,0.13474,0.13205,0.12944,0.12691,0.12445,0.12207,0.11975,0.1175,0.11531,0.11318,0.11111,0.10909,0.10713,0.10522,0.10337,0.10156,0.0998,0.09808,0.09641,0.09478,0.09319,0.09164,0.09013,0.08865,0.08722,0.08581,0.08444,0.08311,0.0818,0.08053,0.07928,0.07806,0.07687,0.07571,0.07458,0.07347,0.07238,0.07132,0.07028,0.06926,0.06827,0.06729,0.06634,0.06541,0.0645,0.0636,0.06273,0.06187,0.06103,0.06021,0.0594,0.05861,0.05784,0.05708,0.05633,0.0556,0.05488,0.05418,0.05349,0.05282,0.05215,0.0515
1.5,,,,1.34099,1.26047,1.18699,1.11975,1.05807,1.00135,0.94907,0.90077,0.85608,0.81463,0.77612,0.74027,0.70686,0.67565,0.64647,0.61914,0.5935,0.56943,0.54679,0.52548,0.50538,0.48642,0.46851,0.45156,0.43552,0.42032,0.4059,0.39222,0.37921,0.36684,0.35506,0.34384,0.33315,0.32295,0.3132,0.3039,0.295,0.28649,0.27834,0.27053,0.26305,0.25587,0.24898,0.24237,0.23602,0.22991,0.22404,0.21839,0.21295,0.20771,0.20266,0.1978,0.1931,0.18858,0.18421,0.17999,0.17591,0.17197,0.16816,0.16448,0.16091,0.15746,0.15413,0.15089,0.14776,0.14472,0.14178,0.13892,0.13615,0.13346,0.13085,0.12832,0.12586,0.12347,0.12115,0.11889,0.11669,0.11456,0.11248,0.11046,0.10849,0.10658,0.10471,0.1029,0.10113,0.0994,0.09772,0.09608,0.09449,0.09293,0.09141,0.08993,0.08848,0.08707,0.08569,0.08434,0.08303,0.08174,0.08049,0.07926,0.07806,0.07689,0.07575,0.07463,0.07353,0.07246,0.07141,0.07039,0.06938,0.0684,0.06744,0.0665,0.06558,0.06468,0.06379,0.06293,0.06208,0.06125,0.06043,0.05963,0.05885,0.05808,0.05733,0.05659,0.05587,0.05516,0.05446,0.05377,0.0531
1.75,,,,,1.29986,1.22408,1.15474,1.09113,1.03264,0.97872,0.92892,0.88283,0.84008,0.80037,0.76341,0.72894,0.69677,0.66667,0.63849,0.61205,0.58722,0.56388,0.5419,0.52117,0.50162,0.48315,0.46567,0.44913,0.43346,0.41859,0.40447,0.39106,0.3783,0.36616,0.35459,0.34356,0.33304,0.32299,0.31339,0.30422,0.29544,0.28703,0.27898,0.27126,0.26386,0.25676,0.24994,0.24339,0.23709,0.23104,0.22521,0.2196,0.2142,0.209,0.20398,0.19914,0.19447,0.18996,0.18561,0.18141,0.17734,0.17342,0.16962,0.16594,0.16239,0.15894,0.15561,0.15237,0.14924,0.14621,0.14326,0.1404,0.13763,0.13494,0.13233,0.12979,0.12733,0.12493,0.1226,0.12034,0.11814,0.11599,0.11391,0.11188,0.10991,0.10798,0.10611,0.10429,0.10251,0.10077,0.09909,0.09744,0.09583,0.09426,0.09274,0.09124,0.08979,0.08837,0.08698,0.08562,0.0843,0.083,0.08174,0.0805,0.0793,0.07811,0.07696,0.07583,0.07473,0.07365,0.07259,0.07155,0.07054,0.06955,0.06858,0.06763,0.0667,0.06579,0.06489,0.06402,0.06316,0.06232,0.0615,0.06069,0.0599,0.05912,0.05836,0.05761,0.05688,0.05616,0.05546,0.05476
2.0,,,,,1.34072,1.26256,1.19104,1.12543,1.0651,1.00949,0.95812,0.91058,0.86649,0.82553,0.7874,0.75186,0.71867,0.68763,0.65856,0.63129,0.60568,0.5816,0.55893,0.53756,0.51739,0.49833,0.48031,0.46325,0.44708,0.43175,0.41719,0.40335,0.39019,0.37767,0.36573,0.35436,0.34351,0.33314,0.32324,0.31378,0.30472,0.29606,0.28775,0.27979,0.27216,0.26483,0.2578,0.25104,0.24455,0.2383,0.23229,0.22651,0.22093,0.21556,0.21039,0.2054,0.20058,0.19593,0.19145,0.18711,0.18292,0.17887,0.17495,0.17116,0.16749,0.16394,0.1605,0.15716,0.15393,0.1508,0.14776,0.14482,0.14196,0.13918,0.13649,0.13387,0.13133,0.12886,0.12646,0.12412,0.12185,0.11964,0.11749,0.1154,0.11336,0.11138,0.10945,0.10756,0.10573,0.10394,0.1022,0.1005,0.09884,0.09723,0.09565,0.09411,0.09261,0.09114,0.08971,0.08831,0.08695,0.08561,0.08431,0.08303,0.08179,0.08057,0.07938,0.07821,0.07707,0.07596,0.07487,0.0738,0.07276,0.07174,0.07073,0.06975,0.06879,0.06785,0.06693,0.06603,0.06514,0.06428,0.06343,0.0626,0.06178,0.06098,0.06019,0.05942,0.05867,0.05793,0.0572,0.05648
2.25,,,,,,1.30248,1.2287,1.16102,1.09878,1.04141,0.98842,0.93938,0.89389,0.85163,0.8123,0.77563,0.74139,0.70937,0.67938,0.65125,0.62484,0.59999,0.5766,0.55456,0.53375,0.51409,0.4955,0.4779,0.46122,0.4454,0.43038,0.41611,0.40253,0.38961,0.3773,0.36556,0.35437,0.34368,0.33347,0.3237,0.31436,0.30542,0.29685,0.28864,0.28076,0.27321,0.26595,0.25898,0.25228,0.24584,0.23964,0.23367,0.22792,0.22238,0.21704,0.21189,0.20693,0.20213,0.1975,0.19303,0.1887,0.18452,0.18048,0.17657,0.17279,0.16912,0.16557,0.16213,0.1588,0.15557,0.15244,0.1494,0.14645,0.14359,0.14081,0.13811,0.13548,0.13293,0.13046,0.12805,0.1257,0.12342,0.12121,0.11905,0.11695,0.1149,0.11291,0.11097,0.10907,0.10723,0.10543,0.10368,0.10197,0.1003,0.09868,0.09709,0.09554,0.09403,0.09255,0.09111,0.0897,0.08832,0.08697,0.08566,0.08437,0.08312,0.08189,0.08069,0.07951,0.07836,0.07724,0.07614,0.07506,0.074,0.07297,0.07196,0.07097,0.07,0.06905,0.06812,0.0672,0.06631,0.06543,0.06457,0.06373,0.06291,0.0621,0.0613,0.06052,0.05976,0.05901,0.05827
2.5,,,,,,1.34392,1.26779,1.19796,1.13374,1.07454,1.01987,0.96926,0.92233,0.87873,0.83815,0.80031,0.76498,0.73194,0.701,0.67197,0.64471,0.61908,0.59495,0.5722,0.55073,0.53045,0.51127,0.4931,0.47589,0.45957,0.44407,0.42934,0.41534,0.402,0.3893,0.3772,0.36564,0.35461,0.34408,0.334,0.32436,0.31513,0.3063,0.29782,0.2897,0.2819,0.27441,0.26722,0.26031,0.25366,0.24726,0.2411,0.23517,0.22946,0.22395,0.21863,0.21351,0.20856,0.20378,0.19917,0.19471,0.19039,0.18622,0.18219,0.17828,0.1745,0.17084,0.16729,0.16385,0.16052,0.15729,0.15415,0.15111,0.14815,0.14529,0.1425,0.13979,0.13716,0.13461,0.13212,0.1297,0.12735,0.12506,0.12284,0.12067,0.11856,0.1165,0.1145,0.11254,0.11064,0.10879,0.10698,0.10521,0.10349,0.10181,0.10018,0.09858,0.09702,0.09549,0.094,0.09255,0.09113,0.08974,0.08838,0.08706,0.08576,0.08449,0.08325,0.08204,0.08086,0.07969,0.07856,0.07745,0.07636,0.07529,0.07425,0.07323,0.07223,0.07125,0.07028,0.06934,0.06842,0.06752,0.06663,0.06576,0.06491,0.06407,0.06325,0.06245,0.06166,0.06088,0.06012
2.75,,,,,,,1.30838,1.2363,1.17002,1.10894,1.05251,1.00029,0.95185,0.90686,0.86497,0.82593,0.78947,0.75537,0.72343,0.69348,0.66535,0.6389,0.61399,0.59052,0.56836,0.54743,0.52763,0.50889,0.49113,0.47428,0.45829,0.44309,0.42863,0.41487,0.40176,0.38927,0.37735,0.36596,0.35509,0.34469,0.33474,0.32522,0.3161,0.30736,0.29897,0.29092,0.2832,0.27577,0.26864,0.26178,0.25518,0.24882,0.2427,0.2368,0.23112,0.22563,0.22034,0.21524,0.21031,0.20554,0.20094,0.19649,0.19218,0.18802,0.18399,0.18009,0.17631,0.17265,0.1691,0.16566,0.16232,0.15909,0.15594,0.1529,0.14994,0.14706,0.14427,0.14155,0.13891,0.13635,0.13385,0.13143,0.12907,0.12677,0.12453,0.12235,0.12023,0.11816,0.11615,0.11418,0.11227,0.1104,0.10858,0.10681,0.10507,0.10338,0.10173,0.10012,0.09855,0.09701,0.09551,0.09405,0.09261,0.09121,0.08985,0.08851,0.0872,0.08592,0.08467,0.08344,0.08225,0.08107,0.07993,0.0788,0.0777,0.07663,0.07557,0.07454,0.07353,0.07253,0.07156,0.07061,0.06968,0.06876,0.06786,0.06699,0.06612,0.06528,0.06445,0.06363,0.06283,0.06205
3.0,,,,,,,,1.27612,1.20771,1.14465,1.08641,1.0325,0.98251,0.93606,0.89283,0.85253,0.81489,0.7797,0.74673,0.71582,0.68678,0.65947,0.63377,0.60953,0.58666,0.56506,0.54462,0.52528,0.50694,0.48955,0.47304,0.45736,0.44244,0.42823,0.4147,0.4018,0.3895,0.37775,0.36653,0.35579,0.34553,0.3357,0.32628,0.31725,0.3086,0.30029,0.29232,0.28465,0.27729,0.27021,0.26339,0.25683,0.25052,0.24443,0.23856,0.2329,0.22744,0.22217,0.21708,0.21216,0.20741,0.20282,0.19837,0.19408,0.18992,0.18589,0.18199,0.17821,0.17454,0.17099,0.16755,0.16421,0.16097,0.15782,0.15476,0.1518,0.14891,0.14611,0.14339,0.14074,0.13817,0.13566,0.13322,0.13085,0.12854,0.12629,0.1241,0.12197,0.11989,0.11786,0.11588,0.11396,0.11208,0.11025,0.10846,0.10671,0.10501,0.10335,0.10172,0.10014,0.09859,0.09707,0.0956,0.09415,0.09274,0.09136,0.09001,0.08869,0.08739,0.08613,0.08489,0.08368,0.0825,0.08134,0.0802,0.07909,0.078,0.07694,0.07589,0.07487,0.07387,0.07288,0.07192,0.07098,0.07005,0.06914,0.06825,0.06738,0.06652,0.06568,0.06486,0.06405
3.25,,,,,,,,1.31747,1.24684,1.18174,1.12161,1.06596,1.01435,0.96639,0.92176,0.88015,0.8413,0.80496,0.77093,0.73901,0.70903,0.68084,0.6543,0.62928,0.60567,0.58337,0.56227,0.5423,0.52337,0.50542,0.48837,0.47218,0.45677,0.44211,0.42814,0.41482,0.40212,0.38999,0.3784,0.36732,0.35672,0.34657,0.33685,0.32753,0.3186,0.31002,0.30179,0.29388,0.28628,0.27896,0.27193,0.26516,0.25863,0.25235,0.24629,0.24045,0.23481,0.22937,0.22411,0.21904,0.21413,0.20939,0.2048,0.20036,0.19607,0.19191,0.18788,0.18398,0.1802,0.17653,0.17298,0.16953,0.16618,0.16293,0.15978,0.15672,0.15374,0.15085,0.14803,0.1453,0.14264,0.14006,0.13754,0.13509,0.13271,0.13038,0.12812,0.12592,0.12377,0.12168,0.11964,0.11765,0.11571,0.11382,0.11197,0.11017,0.10841,0.1067,0.10502,0.10338,0.10178,0.10022,0.09869,0.0972,0.09574,0.09432,0.09292,0.09156,0.09023,0.08892,0.08764,0.0864,0.08517,0.08398,0.0828,0.08166,0.08053,0.07943,0.07835,0.0773,0.07626,0.07525,0.07425,0.07328,0.07232,0.07138,0.07046,0.06956,0.06868,0.06781,0.06696,0.06612
3.5,,,,,,,,,1.28749,1.22027,1.15818,1.10071,1.04742,0.9979,0.95181,0.90885,0.86873,0.83121,0.79606,0.7631,0.73215,0.70304,0.67564,0.6498,0.62542,0.60239,0.5806,0.55998,0.54043,0.5219,0.5043,0.48757,0.47166,0.45652,0.4421,0.42835,0.41523,0.40271,0.39074,0.3793,0.36835,0.35787,0.34784,0.33821,0.32899,0.32013,0.31163,0.30346,0.29561,0.28806,0.28079,0.2738,0.26707,0.26058,0.25432,0.24829,0.24246,0.23685,0.23142,0.22618,0.22111,0.21622,0.21148,0.2069,0.20246,0.19817,0.19401,0.18998,0.18608,0.18229,0.17862,0.17506,0.1716,0.16825,0.16499,0.16182,0.15875,0.15576,0.15286,0.15004,0.14729,0.14462,0.14202,0.13949,0.13703,0.13463,0.1323,0.13002,0.12781,0.12565,0.12354,0.12149,0.11948,0.11753,0.11562,0.11376,0.11195,0.11017,0.10844,0.10675,0.1051,0.10349,0.10191,0.10037,0.09887,0.09739,0.09595,0.09455,0.09317,0.09182,0.0905,0.08921,0.08795,0.08671,0.0855,0.08432,0.08316,0.08202,0.08091,0.07982,0.07875,0.0777,0.07667,0.07567,0.07468,0.07371,0.07276,0.07183,0.07092,0.07002,0.06914,0.06828
3.75,,,,,,,,,1.32973,1.26031,1.19618,1.13682,1.08178,1.03064,0.98304,0.93867,0.89723,0.85848,0.82218,0.78814,0.75617,0.72611,0.6978,0.67112,0.64594,0.62215,0.59965,0.57835,0.55817,0.53902,0.52084,0.50357,0.48714,0.4715,0.4566,0.4424,0.42885,0.41592,0.40356,0.39174,0.38044,0.36961,0.35925,0.34931,0.33978,0.33063,0.32185,0.31342,0.30531,0.29751,0.29001,0.28278,0.27583,0.26912,0.26266,0.25643,0.25042,0.24462,0.23901,0.2336,0.22837,0.22331,0.21842,0.21369,0.2091,0.20467,0.20037,0.19621,0.19218,0.18827,0.18448,0.1808,0.17723,0.17377,0.1704,0.16713,0.16396,0.16087,0.15788,0.15496,0.15213,0.14937,0.14668,0.14407,0.14153,0.13905,0.13664,0.13429,0.132,0.12977,0.12759,0.12547,0.1234,0.12138,0.11942,0.11749,0.11562,0.11379,0.112,0.11025,0.10855,0.10688,0.10526,0.10366,0.10211,0.10059,0.0991,0.09765,0.09622,0.09483,0.09347,0.09214,0.09084,0.08956,0.08831,0.08708,0.08589,0.08471,0.08356,0.08243,0.08133,0.08025,0.07919,0.07815,0.07713,0.07613,0.07515,0.07419,0.07324,0.07232,0.07141,0.07052
